Geographic_Area_Name,NAICS_Description,Year,Total_Fringe_Benefits,Total_Materials_Cost,Cost_Materials_Used,Cost_Resales,Inventories_Beginning_Year,Finished_Goods_Beginning,Work_In_Process_Beginning,Materials_Supplies_Beginning,Inventories_End_Year,Finished_Goods_End,Work_In_Process_End,Materials_Supplies_End,Total_Capital_Expenditures,Capital_Buildings,Capital_Machinery,Capital_Automobiles,Capital_Computers,Capital_Other
Vermont,Manufacturing,2021,533399,4871588,4427093,142242,1347735,NA,NA,537318,1585395,492685,508358,584353,232626,53932,178695,11710,5897,161087
Virginia,Manufacturing,2018,4682902,45373355,41236910,1536044,10816832,4025970,2170843,4620019,12054843,4468809,2591074,4994960,3028442,716723,2311719,113008,74810,2123901
Virginia,Manufacturing,2019,4636262,45034714,40618918,1625028,11766116,4383593,2536819,4845705,11465679,4346224,2385226,4734229,3146181,908077,2238104,79380,76884,2081839
Virginia,Manufacturing,2020,4653719,42905054,38787578,1454710,11342850,4297308,2339626,4705916,11118602,3959527,2434433,4724642,3321656,1164534,2157122,178255,63945,1914922
Virginia,Manufacturing,2021,4776813,48028530,43474134,1696676,11069393,3972132,2427414,4669847,12673947,4666412,2613025,5394510,3362490,969626,2392865,122248,77519,2193097
Washington,Manufacturing,2018,5497405,66513054,61209060,2054395,40812511,5307898,31267434,4237179,39406692,5227106,29631379,4548207,3726566,546845,3179720,130719,160058,2888943
Washington,Manufacturing,2019,5615618,64506217,59424211,1760643,38960553,NA,NA,4541150,50737026,4828654,41391607,4516765,3176560,566628,2609932,94926,143345,2371662
Washington,Manufacturing,2020,5485814,64031695,59384716,1589558,50538917,4787797,41324773,4426347,53200283,6516275,41304443,5379565,2693707,441600,2252107,88549,95181,2068376
Washington,Manufacturing,2021,5322834,61879043,56487389,1950866,53242111,6544064,41276429,5421618,39381788,NA,NA,6289630,2724191,508849,2215343,87782,107932,2019629
West Virginia,Manufacturing,2018,964432,13641028,12133515,814362,3198496,1270068,706304,1222124,3312434,1274678,720798,1316957,972555,195392,777163,21198,26574,729391
West Virginia,Manufacturing,2019,959820,13076593,11475314,924350,3207301,1233553,684341,1289407,3164791,1233071,677082,1254638,876666,212968,663697,31997,13273,618427
West Virginia,Manufacturing,2020,932757,11471187,10552987,301348,3060922,1218834,638659,1203429,2891097,1207078,572762,1111258,695881,123241,572640,19386,10205,543050
West Virginia,Manufacturing,2021,973673,13655349,12478507,416869,2862696,1180854,570828,1111013,3418435,1422791,715532,1280112,786754,155048,631707,21133,9699,600874
Wisconsin,Manufacturing,2018,7904583,96870258,88764078,3584717,20331930,8535880,3858485,7937566,21722421,8689174,4171373,8861873,5905124,1312359,4592765,219773,233798,4139194
Wisconsin,Manufacturing,2019,8011730,96220828,88020209,3766023,21439499,8589347,4142092,8708059,21855293,8897985,4299991,8657317,5949256,1256341,4692915,144786,173245,4374884
Wisconsin,Manufacturing,2020,7782287,94220315,86495111,3506589,21587812,8852523,4287043,8448246,21734182,8750445,4359477,8624260,6167090,1272617,4894473,172249,203573,4518651
Wisconsin,Manufacturing,2021,8210378,104119859,95764827,3652635,21414800,8590830,4234849,8589121,25678212,9692221,5049155,10936836,6629670,1714781,4914889,170370,231200,4513319
Wyoming,Manufacturing,2018,203672,6161177,5446263,203556,794742,358770,135038,300934,866963,385885,154498,326579,400732,215030,185702,10887,6175,168641
Wyoming,Manufacturing,2019,225321,6147491,5440767,154567,874404,NA,NA,333878,851563,399019,148141,304404,337504,121947,215557,8118,5808,201631
Wyoming,Manufacturing,2020,216748,4470320,3900945,128813,856308,402869,146049,307389,823395,378647,136901,307847,294869,129118,165751,15059,6521,144172
Wyoming,Manufacturing,2021,231106,4662870,4209493,57136,818813,NA,NA,302591,1044494,NA,NA,387160,421462,275324,146138,12433,16331,117373
