"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS Code (NAICS2017_LABEL)","Year (YEAR)","Total fringe benefits ($1,000) (BENEFIT)","Relative standard error for estimate of total fringe benefits (%) (BENEFIT_S)","Total cost of materials ($1,000) (CSTMTOT)","Relative standard error for estimate of total cost of materials  (%) (CSTMTOT_S)","Cost of materials, packaging, etc. used ($1,000) (CSTMPRT)","Relative standard error for estimate of cost of materials, packaging, etc. used(%) (CSTMPRT_S)","Cost of resales ($1,000) (CSTRSL)","Relative standard error for estimate of cost of resales (%) (CSTRSL_S)","Cost of purchased fuels consumed ($1,000) (CSTFU)","Relative standard error for estimate of cost of purchased fuels consumed (%) (CSTFU_S)","Cost of purchased electricity ($1,000) (CSTELEC)","Relative standard error for estimate of cost of purchased electricity (%) (CSTELEC_S)","Cost of contract work ($1,000) (CSTCNT)","Relative standard error for estimate of cost of contract work (%) (CSTCNT_S)","Quantity of electricity purchased for heat and power (1,000 kWh) (ELECPCH)","Relative standard error for estimate of quantity of electricity purchased for heat and power (%) (ELECPCH_S)","Quantity of generated electricity (1,000 kWh) (ELECGEN)","Relative standard error for estimate of quantity of generated electricity (%) (ELECGEN_S)","Quantity of electricity sold or transferred (1,000 kWh) (ELECSLD)","Relative standard error for estimate of quantity of electricity sold or transferred (%) (ELECSLD_S)","Total inventories, beginning of year ($1,000) (INVTOTB)","Relative standard error for estimate of total inventories, beginning of year (%) (INVTOTB_S)","Finished goods inventories, beginning of year ($1,000) (INVFINB)","Relative standard error for estimate of finished goods inventories, beginning of year (%) (INVFINB_S)","Work-in-process inventories, beginning of year ($1,000) (INVWIPB)","Relative standard error for estimate of work-in-process inventories, beginning of year (%) (INVWIPB_S)","Materials and supplies inventories, beginning of year ($1,000) (INVMATB)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%) (INVMATB_S)","Total inventories, end of year ($1,000) (INVTOTE)","Relative standard error for estimate of total inventories, end of year (%) (INVTOTE_S)","Finished goods inventories, end of year ($1,000) (INVFINE)","Relative standard error for estimate of finished goods inventories, end of year (%) (INVFINE_S)","Work-in-process inventories, end of year ($1,000) (INVWIPE)","Relative standard error for estimate of work-in-process inventories, end of year (%) (INVWIPE_S)","Materials and supplies inventories, end of year ($1,000) (INVMATE)","Relative standard error for estimate of materials and supplies inventories, end of year  (%) (INVMATE_S)","Total capital expenditures (new and used) ($1,000) (CEXTOT)","Relative standard error for estimate of total capital expenditures (new and used)  (%) (CEXTOT_S)","Capital expenditures for buildings and other structures ($1,000) (CEXBLD)","Relative standard error for estimate of capital expenditures for buildings and other structures (%) (CEXBLD_S)","Capital expenditures for machinery and equipment ($1,000) (CEXMCH)","Relative standard error for estimate of capital expenditures for machinery and equipment (%) (CEXMCH_S)","Capital expenditures for automobiles, trucks, etc. for highway use ($1,000) (CEXMCHA)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%) (CEXMCHA_S)","Capital expenditures for computers and peripheral data processing equipment ($1,000) (CEXMCHC)","Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%)  (CEXMCHC_S)","Capital expenditures for all other machinery and equipment ($1,000) (CEXMCHO)","Relative standard error for estimate of capital expenditures for all other machinery and equipment (%) (CEXMCHO_S)"
"South Dakota","31-33","Manufacturing","2021","668,554","1.1","13,119,458","1.4","12,384,273","1.5","257,981","20.5","188,059","0.3","198,097","0.6","91,049","6.7","2,757,411","0.5","D","D","0","X","1,789,692","1.3","D","D","D","D","806,634","1.5","2,307,582","1.6","773,842","2.1","451,496","2.6","1,082,245","2.1","538,742","5.5","114,591","13.7","424,151","4.6","20,149","5.2","14,526","3.3","389,476","4.9"
"Tennessee","31-33","Manufacturing","2018","5,557,986","0.3","89,144,958","0.2","84,231,757","0.2","1,840,632","1.8","741,174","0.5","1,487,737","0.3","843,657","1.7","21,736,524","0.3","2,364,342","0.1","D","D","13,990,126","0.3","5,893,071","0.6","2,066,242","0.6","6,030,812","0.5","15,103,012","0.4","6,372,652","0.4","2,202,209","1.1","6,528,152","0.7","5,256,414","0.9","1,038,052","0.8","4,218,361","1.0","200,473","7.9","107,777","1.5","3,910,111","0.9"
"Tennessee","31-33","Manufacturing","2019","5,899,107","0.6","86,858,784","0.3","81,742,951","0.3","2,143,425","3.0","693,558","1.1","1,472,402","0.9","806,448","2.4","21,133,781","0.8","2,342,984","0.2","D","D","14,945,974","0.6","6,363,209","0.7","2,072,184","1.8","6,510,581","0.6","15,124,989","0.6","6,354,452","0.9","1,995,967","1.3","6,774,570","0.8","4,985,366","2.2","908,494","2.7","4,076,873","2.4","151,199","3.6","101,507","4.1","3,824,168","2.5"
"Tennessee","31-33","Manufacturing","2020","5,428,514","0.6","79,196,830","0.5","74,334,345","0.5","2,064,947","2.8","622,754","1.3","1,380,507","1.0","794,276","3.1","20,151,801","1.0","1,970,562","0.2","D","D","14,890,715","0.7","6,303,815","1.0","1,876,186","2.1","6,710,714","0.9","14,676,372","0.6","6,152,641","0.9","1,893,692","1.1","6,630,039","0.8","5,436,277","3.0","1,194,341","3.8","4,241,936","3.2","136,153","6.7","114,387","3.5","3,991,396","3.3"
"Tennessee","31-33","Manufacturing","2021","5,686,597","0.6","89,338,390","0.6","84,143,556","0.7","2,162,180","2.8","734,432","1.3","1,467,508","0.9","830,715","3.4","20,895,500","0.9","1,875,043","0.2","D","D","14,622,379","0.7","6,111,610","0.9","1,859,837","2.1","6,650,932","0.9","17,505,733","0.8","7,057,225","1.3","2,342,306","1.1","8,106,203","0.9","6,362,163","1.6","1,439,190","3.8","4,922,972","1.4","128,722","7.9","158,326","18.3","4,635,924","1.3"
"Texas","31-33","Manufacturing","2018","15,273,467","0.3","396,937,935","0.1","366,834,121","0.1","15,480,864","0.3","6,078,253","0.1","4,512,503","0.2","4,032,194","0.5","84,289,224","0.2","27,102,153","0.3","8,937,541","0.1","50,227,013","0.4","20,658,092","0.5","12,309,663","0.3","17,259,258","0.6","53,041,783","0.4","21,708,523","0.6","12,502,227","0.5","18,831,033","0.6","23,172,337","0.5","4,950,031","0.7","18,222,306","0.6","483,510","3.0","455,938","1.0","17,282,859","0.6"
"Texas","31-33","Manufacturing","2019","15,814,106","0.3","362,027,079","0.3","335,274,361","0.3","13,437,706","0.9","5,270,454","0.1","4,436,206","0.2","3,608,352","2.0","81,467,790","0.3","26,724,595","0.1","9,124,340","0.1","51,788,946","0.6","21,093,304","0.4","12,447,586","2.3","18,248,056","0.4","53,151,785","0.4","21,051,227","0.4","12,879,887","1.1","19,220,671","0.4","19,555,850","0.6","3,241,687","1.2","16,314,162","0.5","456,054","2.2","556,533","1.0","15,301,575","0.5"
"Texas","31-33","Manufacturing","2020","15,512,662","0.3","280,380,829","0.5","259,992,894","0.4","9,718,891","1.4","4,480,462","0.2","3,837,644","0.2","2,350,938 (s)","44.7","77,188,079","0.3","29,977,043","0.1","8,966,250","0.1","53,286,612","0.5","21,335,884","0.5","12,821,640","2.1","19,129,088","0.5","49,960,551","0.4","19,614,568","0.6","11,907,283","1.3","18,438,700","0.4","18,490,720","0.9","3,727,103","1.9","14,763,617","0.9","505,489","5.6","455,748","1.8","13,802,380","0.9"
"Texas","31-33","Manufacturing","2021","16,168,858","0.4","385,722,552","0.4","356,783,569","0.3","14,009,086","1.0","7,273,350","0.2","5,094,504","0.7","2,562,043 (s)","41.0","87,916,561","0.9","29,614,015","0.1","9,717,203","0.1","49,792,197","0.6","19,439,174","0.6","11,973,101","2.3","18,379,921","0.5","59,036,656","1.5","23,972,859","1.7","12,902,459","0.7","22,161,338","2.0","17,338,879","1.0","3,590,897","1.2","13,747,982","1.2","485,482","4.2","434,420","1.9","12,828,081","1.2"
"Utah","31-33","Manufacturing","2018","2,091,929","0.4","33,972,087","0.2","31,349,678","0.2","1,437,459","2.8","220,124","0.6","422,900","0.6","541,927","1.5","6,431,986","0.4","D","D","D","D","5,898,468","0.5","2,155,374","0.7","1,277,724","1.2","2,465,369","0.3","6,315,802","0.5","2,283,771","0.6","1,299,909","1.5","2,732,122","0.4","2,869,267","0.7","536,937","1.2","2,332,330","0.7","53,517","4.5","67,660","2.0","2,211,153","0.7"
"Utah","31-33","Manufacturing","2019","2,177,081","0.6","30,259,338","0.4","27,846,205","0.4","1,250,206","1.7","206,706","0.7","440,774","0.4","515,447","1.8","6,562,358","0.4","D","D","D","D","6,385,709","0.6","2,273,171","1.2","1,416,425","0.6","2,696,113","0.8","6,365,318","0.7","2,279,476","1.8","1,414,736","0.8","2,671,106","0.7","1,847,293","2.0","301,361","2.4","1,545,932","2.1","47,362","4.7","49,697","2.7","1,448,874","2.2"
"Utah","31-33","Manufacturing","2020","2,196,924","0.7","28,541,019","0.5","26,173,259","0.5","1,196,847","2.3","186,483","0.9","435,149","0.7","549,281","3.0","6,439,478","0.5","D","D","D","D","6,263,120","0.7","2,301,290","1.4","1,431,793","0.8","2,530,038","0.8","6,572,352","0.8","2,399,476","1.6","1,491,437","1.0","2,681,439","1.0","1,960,294","1.6","530,923","3.2","1,429,371","1.4","44,482","7.8","43,227","2.1","1,341,663","1.4"
"Utah","31-33","Manufacturing","2021","2,327,869","0.7","33,911,281","0.5","31,422,691","0.5","1,237,989","2.8","239,759","0.8","470,275","0.6","540,568","3.2","6,943,125","0.6","D","D","D","D","6,604,365","0.8","2,410,447","1.4","1,506,974","1.0","2,686,943","1.0","7,505,593","1.0","2,545,885","1.5","1,703,059","1.5","3,256,648","1.2","1,942,888","1.8","550,511","3.3","1,392,377","1.9","44,596","5.6","37,961","1.6","1,309,820","1.9"
"Vermont","31-33","Manufacturing","2018","560,749","0.4","4,271,297","1.5","3,915,286","0.5","74,534 (s)","74.6","45,023","1.0","106,273","1.4","130,181","0.6","894,910","1.4","2,747","0.4","0","X","1,013,404","0.6","340,383","1.2","222,288","1.3","450,734","0.4","1,259,345","2.0","419,317","0.2","308,991","4.2","531,037","2.5","313,595","4.6","69,329","9.6","244,266","4.5","9,468","28.5","22,035 (s)","42.3","212,762","2.0"
"Vermont","31-33","Manufacturing","2019","526,053","1.0","4,421,177","1.2","4,003,527","1.1","136,960","10.7","47,733","5.1","105,931","3.2","127,025","4.5","1,087,939","2.4","1,790","0.0","0","X","1,342,479","0.7","D","D","D","D","595,699","0.8","1,382,617","0.5","486,591","1.0","342,073","0.9","553,953","0.6","231,696","6.0","34,773","12.8","196,923","5.5","7,776","4.7","8,101","6.0","181,045","5.8"
"Vermont","31-33","Manufacturing","2020","531,214","1.4","4,335,158","1.4","3,938,602","1.3","125,162","10.1","40,249","6.0","105,613","3.2","125,532","4.5","1,046,353","2.4","D","D","1,474 (s)","47.4","1,381,504","0.7","482,074","1.1","345,727","0.9","553,703","0.8","1,358,578","3.5","452,385","2.8","360,057","8.8","546,135","0.7","248,929","9.2","52,253","15.1","196,677","8.1","21,337 (s)","51.3","7,245","11.5","168,094","5.4"
"Vermont","31-33","Manufacturing","2021","533,399","1.5","4,871,588","1.3","4,427,093","1.3","142,242","7.2","47,012","5.5","110,779","3.1","144,461","3.6","1,034,354","2.4","1,743","0.0","0","X","1,347,735","3.5","D","D","D","D","537,318","0.9","1,585,395","3.3","492,685","2.9","508,358","6.8","584,353","0.8","232,626","9.8","53,932","14.7","178,695","8.7","11,710","19.3","5,897","14.0","161,087","7.9"
"Virginia","31-33","Manufacturing","2018","4,682,902","0.5","45,373,355","0.3","41,236,910","0.4","1,536,044","5.7","543,551","0.4","916,787","0.6","1,140,063","2.1","12,638,988","0.5","1,760,762","0.1","0","X","10,816,832","0.5","4,025,970","0.8","2,170,843","1.2","4,620,019","0.5","12,054,843","0.4","4,468,809","0.8","2,591,074","0.6","4,994,960","0.5","3,028,442","5.0","716,723","10.3","2,311,719","3.5","113,008","8.8","74,810","3.3","2,123,901","3.6"
"Virginia","31-33","Manufacturing","2019","4,636,262","0.3","45,034,714","0.3","40,618,918","0.3","1,625,028","2.2","552,433","0.6","927,428","0.5","1,310,908","1.1","12,856,376","0.6","2,036,763","0.1","D","D","11,766,116","0.3","4,383,593","0.8","2,536,819","0.4","4,845,705","0.4","11,465,679","0.3","4,346,224","0.8","2,385,226","0.4","4,734,229","0.6","3,146,181","2.0","908,077","0.7","2,238,104","2.6","79,380","11.7","76,884","3.5","2,081,839","2.7"
"Virginia","31-33","Manufacturing","2020","4,653,719","0.3","42,905,054","0.3","38,787,578","0.3","1,454,710","1.8","518,208","0.9","898,166","0.6","1,246,391","1.5","12,572,103","0.7","2,036,112","0.1","D","D","11,342,850","0.5","4,297,308","0.9","2,339,626","0.6","4,705,916","0.7","11,118,602","0.5","3,959,527","1.2","2,434,433","0.5","4,724,642","0.6","3,321,656","1.4","1,164,534","2.2","2,157,122","1.5","178,255","7.0","63,945","3.7","1,914,922","1.3"
"Virginia","31-33","Manufacturing","2021","4,776,813","0.3","48,028,530","0.3","43,474,134","0.3","1,696,676","1.7","565,371","0.9","946,166","0.5","1,346,182","1.7","13,149,698","0.6","1,773,056","0.1","D","D","11,069,393","0.5","3,972,132","1.1","2,427,414","0.5","4,669,847","0.6","12,673,947","0.5","4,666,412","1.0","2,613,025","0.6","5,394,510","0.5","3,362,490","1.4","969,626","1.4","2,392,865","1.6","122,248","9.1","77,519","11.6","2,193,097","1.1"
"Washington","31-33","Manufacturing","2018","5,497,405","0.3","66,513,054","0.2","61,209,060","0.2","2,054,395","1.9","664,874","0.4","1,274,269","0.3","1,310,457","0.7","18,775,835","0.3","2,351,845","0.1","1,746,785","0.0","40,812,511","0.1","5,307,898","0.6","31,267,434","0.1","4,237,179","0.6","39,406,692","0.2","5,227,106","0.6","29,631,379","0.1","4,548,207","1.1","3,726,566","2.1","546,845","3.5","3,179,720","2.4","130,719","4.1","160,058","4.2","2,888,943","2.5"
"Washington","31-33","Manufacturing","2019","5,615,618","0.4","64,506,217","0.3","59,424,211","0.3","1,760,643","2.6","910,770","0.6","1,070,091","0.5","1,340,501","1.4","17,601,995","0.4","2,400,656","0.1","1,805,824","0.1","38,960,553","0.3","D","D","D","D","4,541,150","0.9","50,737,026","0.2","4,828,654","1.1","41,391,607","0.1","4,516,765","0.9","3,176,560","1.7","566,628","4.5","2,609,932","1.7","94,926","9.3","143,345","14.4","2,371,662","1.3"
"Washington","31-33","Manufacturing","2020","5,485,814","0.8","64,031,695","0.6","59,384,716","0.6","1,589,558","2.0","651,579","1.1","1,059,539","0.7","1,346,303","2.1","18,447,282","0.5","2,160,047","0.1","1,758,598","0.1","50,538,917","0.2","4,787,797","1.4","41,324,773","0.1","4,426,347","0.9","53,200,283","0.2","6,516,275","0.8","41,304,443","0.2","5,379,565","0.9","2,693,707","1.9","441,600","3.6","2,252,107","1.9","88,549","13.2","95,181","7.6","2,068,376","1.6"
"Washington","31-33","Manufacturing","2021","5,322,834","0.8","61,879,043","0.6","56,487,389","0.7","1,950,866","2.0","811,008","0.9","1,213,396","0.6","1,416,383","2.1","20,808,166","0.5","1,869,980","0.1","1,393,951","0.0","53,242,111","0.3","6,544,064","1.1","41,276,429","0.2","5,421,618","0.9","39,381,788","0.4","D","D","D","D","6,289,630","1.1","2,724,191","2.5","508,849","4.1","2,215,343","2.6","87,782","9.2","107,932","7.6","2,019,629","2.4"
"West Virginia","31-33","Manufacturing","2018","964,432","0.6","13,641,028","1.1","12,133,515","1.2","814,362","0.5","174,082","1.0","396,726","0.6","122,344","1.1","6,723,104","0.5","D","D","D","D","3,198,496","1.3","1,270,068","2.5","706,304","0.4","1,222,124","1.4","3,312,434","1.2","1,274,678","2.2","720,798","2.9","1,316,957","0.9","972,555","4.9","195,392","5.7","777,163","5.0","21,198","8.6","26,574","3.2","729,391","5.1"
"West Virginia","31-33","Manufacturing","2019","959,820","0.6","13,076,593","0.4","11,475,314","0.4","924,350","2.8","173,120","1.3","376,206","0.8","127,603","3.7","6,683,140","0.7","D","D","D","D","3,207,301","1.3","1,233,553","1.9","684,341","0.9","1,289,407","1.2","3,164,791","0.7","1,233,071","1.7","677,082","0.6","1,254,638","0.5","876,666","1.1","212,968","1.7","663,697","1.4","31,997","3.4","13,273","2.6","618,427","1.4"
"West Virginia","31-33","Manufacturing","2020","932,757","0.7","11,471,187","0.5","10,552,987","0.5","301,348","8.8","136,392","1.7","360,903","0.9","119,557","5.8","5,901,001","0.8","D","D","D","D","3,060,922","1.1","1,218,834","1.4","638,659","1.0","1,203,429","1.3","2,891,097","0.8","1,207,078","1.8","572,762","0.8","1,111,258","0.6","695,881","0.8","123,241","2.6","572,640","0.6","19,386","8.7","10,205","4.5","543,050","0.5"
"West Virginia","31-33","Manufacturing","2021","973,673","0.7","13,655,349","0.4","12,478,507","0.5","416,869","6.4","200,459","1.2","417,327","1.6","142,187","6.7","6,563,915","1.6","D","D","D","D","2,862,696","1.3","1,180,854","1.5","570,828","1.2","1,111,013","1.4","3,418,435","1.0","1,422,791","2.3","715,532","0.7","1,280,112","0.5","786,754","2.4","155,048","4.0","631,707","2.6","21,133","7.5","9,699","2.2","600,874","2.7"
"Wisconsin","31-33","Manufacturing","2018","7,904,583","0.3","96,870,258","0.2","88,764,078","0.2","3,584,717","1.9","772,829","0.6","1,706,237","0.9","2,042,398","1.2","21,132,587","0.9","1,403,783","0.3","49,381","0.1","20,331,930","0.3","8,535,880","0.4","3,858,485","0.7","7,937,566","0.5","21,722,421","0.5","8,689,174","0.6","4,171,373","0.5","8,861,873","0.9","5,905,124","2.2","1,312,359","2.5","4,592,765","2.6","219,773","10.0","233,798","2.4","4,139,194","2.8"
"Wisconsin","31-33","Manufacturing","2019","8,011,730","0.4","96,220,828","0.8","88,020,209","0.8","3,766,023","2.0","765,968","1.4","1,647,933","0.8","2,020,695","2.4","20,684,676","0.9","1,350,120","0.4","33,994","8.4","21,439,499","0.7","8,589,347","0.9","4,142,092","0.6","8,708,059","0.8","21,855,293","0.5","8,897,985","0.5","4,299,991","1.1","8,657,317","0.6","5,949,256","2.8","1,256,341","2.0","4,692,915","3.4","144,786","4.3","173,245","3.6","4,374,884","3.6"
"Wisconsin","31-33","Manufacturing","2020","7,782,287","0.5","94,220,315","1.0","86,495,111","1.1","3,506,589","2.4","689,666","1.5","1,565,169","1.0","1,963,780","2.3","19,348,384","1.0","733,118","0.7","15,837","4.2","21,587,812","0.9","8,852,523","1.3","4,287,043","1.8","8,448,246","0.9","21,734,182","0.7","8,750,445","1.0","4,359,477","1.6","8,624,260","0.8","6,167,090","2.7","1,272,617","1.8","4,894,473","3.2","172,249","4.8","203,573","4.0","4,518,651","3.4"
"Wisconsin","31-33","Manufacturing","2021","8,210,378","0.5","104,119,859","0.5","95,764,827","0.5","3,652,635","2.9","876,964","1.7","1,683,221","0.9","2,142,212","2.1","20,353,170","0.8","747,905","0.7","30,671","1.9","21,414,800","0.9","8,590,830","1.3","4,234,849","1.7","8,589,121","1.1","25,678,212","0.7","9,692,221","1.1","5,049,155","2.4","10,936,836","0.8","6,629,670","3.9","1,714,781","2.6","4,914,889","5.0","170,370","5.3","231,200","4.0","4,513,319","5.4"
"Wyoming","31-33","Manufacturing","2018","203,672","1.8","6,161,177","0.1","5,446,263","0.1","203,556","0.1","175,643","0.1","170,079","0.1","165,635","0.3","2,551,621","0.1","D","D","0","X","794,742","0.3","358,770","0.6","135,038","0.3","300,934","0.2","866,963","0.8","385,885","1.7","154,498","0.3","326,579","0.3","400,732","1.4","215,030","1.6","185,702","2.0","10,887","33.7","6,175","0.3","168,641","0.3"
"Wyoming","31-33","Manufacturing","2019","225,321","1.9","6,147,491","0.8","5,440,767","0.9","154,567","1.1","173,735","1.1","185,100","0.3","193,322","0.7","2,769,334","0.4","D","D","0","X","874,404","0.7","D","D","D","D","333,878","0.7","851,563","0.7","399,019","0.5","148,141","1.9","304,404","0.7","337,504","0.8","121,947","0.7","215,557","0.9","8,118","15.1","5,808","0.9","201,631","0.5"
"Wyoming","31-33","Manufacturing","2020","216,748","1.2","4,470,320","1.5","3,900,945","1.6","128,813","1.8","140,418","1.3","166,264","0.4","133,880","1.0","2,585,958","0.4","D","D","0","X","856,308","0.7","402,869","0.4","146,049","2.7","307,389","1.1","823,395","0.6","378,647","0.4","136,901","1.4","307,847","1.2","294,869","2.1","129,118","1.6","165,751","3.2","15,059","10.5","6,521","2.1","144,172","3.4"
"Wyoming","31-33","Manufacturing","2021","231,106","1.4","4,662,870","1.3","4,209,493","1.4","57,136","3.5","142,804","1.5","160,419","0.5","93,018","1.9","2,496,808","0.5","D","D","0","X","818,813","0.6","D","D","D","D","302,591","1.1","1,044,494","0.5","D","D","D","D","387,160","0.8","421,462","5.3","275,324","3.2","146,138","12.7","12,433","11.5","16,331","7.3","117,373","13.9"
